state code,state stream,General Requirements,Requirements Canberra Residents,Requirements overseas,service fee,requirements,Detail Requirements,state_code,state_stream,tse,tsg,ter,tbo
ACT,190,"The Skilled Nominated Visa (subclass 190) lets you live and work in Australia as a permanent resident. You must be nominated by a State or Territory government. Nomination triggers the visa invitation from the Department of Home Affairs.

Two year commitment - If you are nominated by the ACT to apply for a 190 visa, you must live and work in Canberra for at least two years from visa grant, or if you are moving from overseas, date of arrival in Canberra.

How to apply for ACT 190 nomination

You can register an interest in applying for ACT 190 nomination by completing a score-based ' Canberra Matrix ' where points can be claimed against specific criteria including skilled employment, English proficiency, formal qualifications, length of ACT residence / study, investment activity and close family ties, etc. We will rank your Matrix based on the number of points you've claimed. Those who rank high enough will be invited to apply for ACT nomination.

Canberra Matrix

The Canberra Matrix is weighted to ensure that applicants who will make/have made a positive economic contribution to the Territory and/or have demonstrated a genuine commitment to the ACT are more likely to be ranked and invited to apply for ACT nomination.

ACT 190 nomination criteria

Read the 190 nomination eligibility criteria carefully. Once you are satisfied that you meet all the criteria, you can submit the Canberra Matrix.

There is no guarantee that you will be invited to apply for ACT 190 nomination, even if you meet the eligibility criteria. The demand for ACT 190 nomination far exceeds the allocation of nomination places.

Canberra resident applicant eligibility Overseas applicant eligibility

Canberra resident applicant eligibility

Overseas applicant eligibility","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

ACT Resident Pathway: you must meet one of the following:
• Your nominated occupation is on the latest ACT Nominated Migration Program Occupation List ;
• You are the majority owner of an eligible registered business located in the ACT and you are claiming Matrix points in the Small Business Owner category. Your nominated occupation does not have to be on the ACT Nominated Migration Program Occupation List if it is on the relevant Department of Home Affairs Skilled Occupation List. The following business types are not eligible: sub tenancy, ride-share, taxi, delivery, courier services, or an on-sold business previously used to qualify for ACT nomination.

Residence in Canberra: you lived in Canberra for at least six months at date of Canberra Matrix submission and continue to do so until the date of invitation. Your bank statements / transaction history must record ACT banking activity for this period. You may also live within a 30-minute commuting distance in NSW e.g., Queanbeyan, Jerrabomberra, and Googong.

Employment in Canberra: You worked in Canberra for at least 26 weeks. You can work for more than one employer, be self-employed, and/or be a Small Business Owner. Employment types can be combined, provided you meet the criteria for each and that you meet the overall hourly or earnings requirements as expressed below.
• Employee You worked a minimum of 30 hours per week in at least 26 out of the 30 weeks before Canberra Matrix submission. Your payslips and bank statements / transaction history must record the income / salary payments (weekly, fortnightly, or monthly) for the claimed period of employment. You work in a genuine position in accordance with Australian terms and conditions of employment. Your weekly income is no less than the relevant award or market salary rate. Unpaid employment such as internships, stipends, scholarships, and volunteer positions, are not eligible. Employer statutory declaration : your employer MUST declare that you are employed in a genuine position in accordance with Australian legislation. If you are working for a large organisation, the statutory declaration may be signed by your manager or direct supervisor. If you are working in Canberra for an interstate employer, there must be a genuine reason for why you are based in Canberra. You cannot be working online, or from a home office.
• Self-employed and you are not claiming Matrix points as a Small Business Owner: Your total (taxable) income is at least $1,175 pw in at least 26 out of the 30 weeks before Canberra Matrix submission. You have at least 12 months ACT business activity on your ABN. You MUST sign a statutory declaration confirming your ABN, location of ACT business, start date of ACT business activity, duties, and annual income.
• Small Business Owner: You are eligible to claim Canberra Matrix points in the Small Business Owner Category. You MUST sign a statutory declaration confirming the details of your business activity, including your ABN, how many people you employ (and for how long), location of ACT business, start date of ACT business activity, duties and annual income.

English: you meet the Department of Home Affairs requirement for ' Proficient ' or ' Superior ' English unless your nominated occupation:
• Is Chef 351311; or,
• Has an ANZSCO skill level of 3 to 5.

Commitment to Canberra: You must sign a declaration committing to living and working in Canberra while your visa is processed and for at least two years from date of visa grant.

If you have a Spouse / Partner, they must be a resident in Canberra for at least six months or living overseas.
• To claim any Matrix points for your spouse or partner y ou must have proof of the relationship: either a marriage certificate, civil partnership/union certificate, or VEVO (Visa Entitlement Verification Online) secondary applicant status for yourself or spouse/partner . The document must be dated before the Matrix is submitted. We do not accept a de facto relationship without a relationship certificate.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for ' competent ' English; or hold an Australian passport.

Service fee : $300","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

Nominated occupation: your nominated occupation is on the latest ACT Nominated Migration Program Occupation List .

Relevant overseas work experience : you have at least three years full-time, post graduate work experience in your nominated occupation in the last five years. The work experience must be assessed as relevant by the assessing body in your points tested skill assessment (if the points advice service is provided by the assessing body).
• Your skills and experience in the nominated occupation are relevant to the ACT economy.
• If required, you hold the relevant Australian registration or licence for your nominated occupation.

English: you meet the Department of Home Affairs requirement for ' Proficient ' or ' Superior ' English unless your nominated occupation:
• Is Chef 351311; or,
• Has an ANZSCO skill level of 3 to 5.

ACT employability: you have researched the ACT labour market and you are satisfied that you are employable in Canberra and that your background is relevant to the ACT economy. Please note, you may not be eligible to apply for positions within the Australian Government due to citizenship / security clearance requirements.

Commitment to Canberra: you have researched Canberra and you are committed to living in the ACT.
• You must attach a commitment statement to the application, explaining in your own words why you want to live in Canberra.
• You must sign a declaration committing to living and working in Canberra for at least two years from the date of arrival in Australia.

Residency: you and any migrating dependents (except children enrolled at school in the ACT):
• are living overseas.
• have not lived in Australia for the last 12 months.
• do not hold a current Australian visa (or bridging visa) with the exception of an Australian visitor visa.

Settlement funds : you have access to sufficient money to fund your migration and settlement in Canberra.

If you have a Spouse / Partner and you wish to claim Canberra Matrix points in a spouse or partner category:
• You must have proof of the relationship: either a marriage certificate or civil partnership/union certificate. For ACT nomination purposes, we do not accept a de facto relationship without a relationship certificate unless you cannot legally obtain a relationship certificate in your country of residence.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for 'competent' English; or hold an Australian passport.

Service Fee : $300 Your supporting documentation must evidence your eligibility to apply for ACT nomination and any Matrix score claimed. Please refer to the key document checklist for more information on what documents you need to include.","$300 (overseas), $300 (canberra)",,,,,,,,
ACT,491,"The Skilled Regional Work Visa (subclass 491) is a five year provisional visa for skilled workers to live and work in regional Australia. You must be nominated by a state or territory government. Nomination triggers the visa invitation from the Department of Home Affairs.

Two year commitment - If you are nominated by the ACT to apply for a 491 visa, you must live and work in Canberra for at least two years from visa grant, or if you are moving from overseas, date of arrival in Canberra.

How to apply for ACT 491 nomination

You can register an interest in applying for ACT 491 nomination by completing a score-based ' Canberra Matrix ' where points can be claimed against specific criteria including skilled employment, English proficiency, formal qualifications, length of ACT residence / study, investment activity and close family ties, etc. We will rank your Matrix based on the number of points you've claimed. Those who rank high enough will be invited to apply for ACT nomination.

Canberra Matrix

The Canberra Matrix is weighted to ensure that applicants who will make/have made a positive economic contribution to the Territory and/or have demonstrated a genuine commitment to the ACT are more likely to be ranked and invited to apply for ACT nomination.

ACT 491 nomination criteria

Read the 491 nomination eligibility criteria carefully. Once you are satisfied that you meet all the criteria, you can submit the Canberra Matrix.

There is no guarantee that you will be invited to apply for ACT 491 nomination, even if you meet the eligibility criteria. The demand for ACT 491 nomination far exceeds the allocation of nomination places.

Canberra resident applicant eligibility Overseas applicant eligibility

Canberra resident applicant eligibility

Overseas applicant eligibility","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

ACT Resident Pathway: you must meet one of the following:
• Your nominated occupation is on the latest ACT Nominated Migration Program Occupation List ;
• You are the majority owner of an eligible registered business located in the ACT and you are claiming Matrix points in the Small Business Owner category. Your nominated occupation does not have to be on the ACT Nominated Migration Program Occupation List if it is on the relevant Department of Home Affairs Skilled Occupation List. The following business types are not eligible: sub tenancy, ride-share, taxi, delivery, courier services, or an on-sold business previously used to qualify for ACT nomination.

Residence in Canberra : you lived in Canberra for at least three months at date of Canberra Matrix submission and continue to do so until the date of invitation. Your bank statements / transaction history must record ACT banking activity for this period. You may also live within a 30-minute commuting distance in NSW e.g., Queanbeyan, Jerrabomberra, and Googong.

Employment in Canberra: You worked in Canberra for at least 13 weeks. You can work for more than one employer, be self-employed, and/or be a Small Business Owner. Employment types can be combined, provided you meet the criteria for each and that you meet the overall hourly or earnings requirements as expressed below.
• Employee You worked a minimum of 15 hours per week in at least 13 out of the 15 weeks before Canberra Matrix submission. Your payslips and bank statements / transaction history must record the income / salary payments (weekly, fortnightly, or monthly) for the claimed period of employment. You work in a genuine position in accordance with Australian terms and conditions of employment. Your weekly income is no less than the relevant award or market salary rate. Unpaid employment such as internships, stipends, scholarships, and volunteer positions, are not eligible. Employer statutory declaration : your employer MUST declare that you are employed in a genuine position in accordance with Australian legislation. If you are working for a large organisation, the statutory declaration may be signed by your manager or direct supervisor. If you are working in Canberra for an interstate employer, there must be a genuine reason for why you are based in Canberra. You cannot be working online, or from a home office.
• Self-employed and you are not claiming Matrix points as a Small Business Owner: Your total (taxable) income is at least $610 pw in at least 13 out of the 15 weeks before Canberra Matrix submission. You have at least 12 months ACT business activity on your ABN. You MUST sign a statutory declaration confirming your ABN, location of ACT business, start date of ACT business activity, duties, and annual income.
• Small Business Owner: You are eligible to claim Canberra Matrix points in the Small Business Owner Category. You MUST sign a statutory declaration confirming the details of your business activity, including your ABN, how many people you employ (and for how long), location of ACT business, start date of ACT business activity, duties and annual income.

English: You meet the Department of Home Affairs requirement for ' competent ' English unless a higher level is required by your assessing authority.

Commitment to Canberra: You must sign a declaration committing to living and working in Canberra while your visa is processed and for at least two years from date of visa grant.

If you have a Spouse / Partner, they must be a resident in Canberra for at least three months or living overseas.
• To claim any Matrix points for your spouse or partner y ou must have proof of the relationship: either a marriage certificate, civil partnership/union certificate, or VEVO (Visa Entitlement Verification Online) secondary applicant status for yourself or spouse/partner . The document must be dated before the Matrix is submitted. We do not accept a de facto relationship without a relationship certificate.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for ' competent ' English; or hold an Australian passport.

Service fee : $300","Department of Home Affairs Criteria: you meet the relevant Department of Home Affairs Criteria and can apply for your visa. You must meet this criterion when you submit your Canberra Matrix and continue to do so until you receive ACT nomination. This includes having a valid English test and Skill Assessment.
• Your English test and Skill Assessment must be valid at date of Canberra Matrix submission and at date of ACT nomination.

Nominated occupation: your nominated occupation is on the latest ACT Nominated Migration Program Occupation List .

Relevant overseas work experience : you have at least one year full time, post graduate work experience in your nominated occupation in the last five years. The work experience must be assessed as relevant by the assessing body in your points tested skill assessment (if the points advice service is provided by the assessing body).
• Your skills and experience in the nominated occupation are relevant to the ACT economy.
• If required, you hold the relevant Australian registration or licence for your nominated occupation.

English: You meet the Department of Home Affairs requirement for ' competent ' English unless a higher level is required by your assessing authority.

ACT employability: you have researched the ACT labour market and you are satisfied that you are employable in Canberra and that your background is relevant to the ACT economy. Please note, you may not be eligible to apply for positions within the Australian Government due to citizenship / security clearance requirements.
• You must attach an employment statement explaining the research undertaken and confirming that you are employable in Canberra. The statement should include recent job vacancies you are eligible for.

Commitment to Canberra: you have researched Canberra and you are committed to living in the ACT.
• You must attach a commitment statement to the application, explaining in your own words why you want to live in Canberra.
• You must sign a declaration committing to living and working in Canberra for at least two years from the date of arrival in Australia.

Residency: you and any migrating dependents (except children enrolled at school in the ACT):
• are living overseas.
• have not lived in Australia for the last 12 months.
• do not hold a current Australian visa (or bridging visa) with the exception of an Australian visitor visa.

Settlement funds : you have access to sufficient money to fund your migration and settlement in Canberra.

If you have a Spouse / Partner and you wish to claim Canberra Matrix points in a spouse or partner category :
• You must have proof of the relationship: either a marriage certificate or civil partnership/union certificate. For ACT nomination purposes, we do not accept a de facto relationship without a relationship certificate unless you cannot legally obtain a relationship certificate in your country of residence.
• When claiming Matrix points in the spouse / partner employment category, they must meet the Department of Home Affairs requirement for 'competent' English; or hold an Australian passport.

Service Fee : $300","$300 (overseas), $300 (canberra)",,,,,,,,
NT,Northern_Territory,,,,-,"WHAT IS A NORTHERN TERRITORY GOVERNMENT NOMINATION?

Australia's Northern Territory (NT) Government participates in the Skilled Work Regional (Provisional) (subclass 491) visa and Skilled Nominated (subclass 190) visa schemes.
The NT Government may nominate you for a skilled visa if you:
• meet the Australian Government's standard requirements, and
• meet NT Government's nomination eligibility, and
• commit to living and working in the NT within your skilled occupation for at least 3 years upon the grant of your visa.

Skilled Work Regional (Provisional) (subclass 491) visa

This is a provisional 5-year visa that will allow you and your dependant family members to live, work and study in a regional area such as the NT.
If you are nominated for the subclass 491 visa by the NT Government, you and your dependant family members will be expected to live and work in the NT for at least 3 years before qualifying for a permanent residency pathway.
You may be subject to reporting commitments by the Department of Home Affairs.
You may have to provide supporting evidence and / or attend an interview with the Department of Home Affairs to show that you are or have been living and working in regional Australia.
The NT Government may also conduct independent compliance checks and / or surveys to ensure that you are still living and working in the NT.

Skilled Nominated (subclass 190) visa

This is a permanent visa which lets you stay in Australia indefinitely.
If you are nominated for the subclass 190 visa by the NT Government, you and your dependent family members will be expected to live and work in the NT for at least 3 years from visa grant.
To get help to find the right visa, use the Australian Government's visa finder .

WHAT YOU NEED TO KNOW

The NT Government will decide whether you are offered a nomination.
A condition of NT Government nomination is that you agree to work, live and settle for at least 3 years in the NT after your visa has been granted.
The NT Government will consider your employment prospects in the NT and whether they meet the needs of NT industries when making a decision to offer you a nomination.
A nomination by the NT Government is not a job guarantee.
Occupations on the NT Migration Occupation List are not job vacancies.
You will be responsible for finding your own employment and accommodation once you arrive and settle in the NT. The NT Government can provide information and some assistance to nominated skilled migrants.
By applying for a nomination, you must understand that the NT Government:
• supports a nomination solely to the NT and does not apply outside of the NT
• is not responsible for finding you employment, accommodation or providing financial assistance
• is not liable for any inaccuracies or omissions in the information it provides you relating to your application, nor are its employees
• will not issue release letters for transfer to other states/territories outside of the NT.

WHO GRANTS YOUR VISA?

The Australian Government's Department of Home Affairs grants your visa.
The NT Government does not approve or grant visas.",,,,,,,
NT,Northern_Territory_Offshore,,,,-,"This list is only applicable for those applying for Northern Territory (NT) nomination from outside Australia, under the priority occupation stream . If you are currently living in the NT or living overseas and applying under the NT family stream or the NT job offer stream, you can nominate any occupation on the national eligibility list for the subclass 491 visa on the Australian Government Department of Home Affairs website .
The Department of Home Affairs utilise the 2013 ANZSCO version for occupation descriptions for the skilled visa subclasses 491 and 190.
Please note: Offshore applicants will generally only be considered for a nomination for a subclass 491 visa.",,,,,,,
NSW,190,"Visa eligibility - Ensure you meet all visa requirements outlined by Home Affairs for this visa.

Skills assessment - Have a valid skills assessment for an occupation that is both:
• Listed on the eligible skilled occupation list for this visa; and
• Falls within an ANZSCO unit group identified on the NSW Skills List .

Residency - You must meet one of following criteria:
• Working in NSW in your nominated occupation; or
• Residing in NSW and have continuously resided in NSW for a minimum period of six months; or
• Residing offshore and have continuously resided offshore for a minimum period of six months.",,,,,"Check Eligibility : Before submitting your EOI in SkillSelect, ensure you meet both the visa and NSW nomination eligibility requirements.

Submit Your EOI : If you meet the criteria, submit an EOI in SkillSelect. Should you be invited to apply, you need to support every claim in your EOI with valid (i.e. non-expired) documents.

Be Invited : NSW holds invitation rounds throughout the financial year. All valid EOIs in occupations within ANZSCO unit groups identified on the NSW Skills List are eligible for NSW nomination. Important : Because of the exceptionally high demand for NSW nomination, we strongly encourage anyone considering NSW nomination to explore all other migration pathways and not wait to be invited.

Respond Promptly if Invited : Your invitation to apply will be valid for 14 days only. When you apply, you need to provide valid documents to substantiate every claim made in your EOI. This 14-day window will not be extended.

Wait For Your Nomination Assessment : Your application will typically be assessed within six weeks after payment. To help us stick to this timeline, please refrain from contacting us for updates during this period.

Timing: Invitation rounds occur throughout the financial year. There are no predetermined or publicly announced dates for NSW invitation rounds.

Selection : NSW considers multiple factors when selecting EOIs including but not limited to age, English language proficiency, education, points score, and total years of skilled work experience. The highest ranking EOIs within an ANZSCO unit group are invited to apply.

Discretion : Being invited to apply for NSW nomination is at the sole discretion of the NSW Government.

Submission Date : The date you submit or amend your SkillSelect EOI does not affect your likelihood of being invited.",,,,,,
NSW,491,"Pathway 1 - Apply if you're currently employed with a regional NSW employer

Pathway 2 - Be invited to apply by Investment NSW

Pathway 3 - Apply if you recently graduated from a Regional NSW institution",,,,,"Timing: Invitation rounds occur throughout the financial year. There are no predetermined or publicly announced dates for invitation rounds.

Selection: NSW considers multiple factors when selecting EOIs including but not limited to age, English language proficiency, education, points score, and total years of skilled work experience. The highest ranking EOIs within an ANZSCO unit group are invited to apply.

Discretion: Being invited to apply for NSW nomination is at the sole discretion of the NSW Government.

Submission Date: The date you submit or amend your SkillSelect EOI does not affect your likelihood of being invited.

Key Steps for Securing NSW Nomination

The NSW nomination process involves several crucial steps that are different for each nomination pathway:",,,,,,
QLD,Workers_Living_in_Queensland,,,,-,,"Occupation
- Have an occupation on the Queensland Onshore Skills List .
- Note that Chefs and Cooks are unable to apply by working in takeaway or fast-food businesses.
Points
- Have a score of 65 or higher in the Australian Department of Home Affairs' points test.
English
- Have at least competent English , according to the Australian Department of Home Affairs definition.
Work experience
- Regional Queensland for the past 6 months for the Skilled Work Regional (Provisional) visa (subclass 491), or:
- Queensland for the past 9 months for the Skilled Nominated (Permanent) visa (subclass 190).
- This work experience must be:
- After you completed your qualification
- In an occupation that has the same first 3 digits in the Australian and New Zealand Standard Classification of Occupations (ANZSCO) code as your nominated occupation
- At least 20 hours per week.
- We also note the following:
- You must still be in a role that meets the above requirements when you submit your ROI, when you are selected for invitation, and when you are nominated
- Casual work is accepted
- Multiple eligible jobs can be combined to meet requirements
- Work from home is allowed, where your employer has a physical presence in Queensland.
Visa subclass
- The Queensland Onshore Skills List outlines which visa subclasses you may be nominated for based on your occupation.
- Some occupations are only eligible for nomination for the Skilled Work Regional (Provisional) visa (subclass 491).
- If you have applied for, or are a current holder of, a Skilled Work Regional (Provisional) visa (subclass 491), you are not eligible for nomination for the Skilled Nominated (Permanent) visa (subclass 190). This restriction also applies to the Skilled Regional (Provisional) visa (subclass 489).
Commitment to living in Queensland
- Commit to continue living and working in:
- Regional Queensland until at least 3 years after the date your Skilled Work Regional (Provisional) visa (subclass 491) is granted, or;
- Queensland until at least 2 years after the date your Skilled Nominated (Permanent) visa (subclass 190) is granted.",,,,,,
QLD,Workers_Living_Offshore,,,,-,,"Occupation
- Have an occupation on the Queensland Offshore Skills List .
- Note that information on employment in Queensland for certain occupations, such as licencing and registration requirements, should be checked on this list.
Points
- Have a score of 65 or higher in the Australian Department of Home Affairs' points test.
English
- Have at least competent English , according to the Australian Department of Home Affairs definition.
Work experience
- Have at least 1 year's skilled employment experience in your nominated occupation or a closely related occupation.
- Only work experience declared as related to your nominated occupation on your Expression of Interest (EOI) to the Australian Department of Home Affairs will be considered.
- You must still be employed in your nominated occupation (or a closely related occupation) at the time you are invited and nominated.
Visa subclass
- The Queensland Offshore Skills List outlines which visa subclasses you may be nominated for based on your occupation.
- Certain occupations are only eligible for nomination for the Skilled Work Regional (Provisional) visa (subclass 491).
- If you have applied for, or are a current holder of, a Skilled Work Regional (Provisional) visa (subclass 491), you are not eligible for nomination for the Skilled Nominated (Permanent) visa (subclass 190). This restriction also applies to the Skilled Regional (Provisional) visa (subclass 489).
Commitment to living in Queensland
- Commit to living and working in:
- Regional Queensland until at least 3 years after the date your Skilled Work Regional (Provisional) visa (subclass 491) is granted, or;
- Queensland until at least 2 years after the date your Skilled Nominated (Permanent) visa (subclass 190) is granted.",,,,,,
QLD,Building_and_Construction,,,,-,,"Occupation
- Have an occupation on the Queensland Onshore Skills List that is indicated as included in the building and construction workforce pathway.
Points
- Have a score of 65 or higher in the Australian Department of Home Affairs' points test.
English
- Have at least competent English , according to the Australian Department of Home Affairs definition.
Work experience
- Immediately before registering your interest in Queensland nomination, you have been living and working in Queensland for the past 3 months.
- This work experience must be:
- After you completed your qualification
- In an occupation that has the same first 3 digits in the Australian and New Zealand Standard Classification of Occupations (ANZSCO) code as your nominated occupation
- At least 20 hours per week.
- We also note the following:
- You must still be in a role that meets the above requirements when you submit your ROI, when you are selected for invitation, and when you are nominated
- Casual work is accepted
- Multiple eligible jobs can be combined to meet requirements
- Work from home is allowed, where your employer has a physical presence in Queensland.
Visa subclass
- Invited candidates will be nominated for the Skilled Nominated (Permanent) visa (subclass 190) unless they do not meet the Australian Department of Home Affairs' requirements for this visa. (See our notes on 'Are you eligible for consideration' above this table.)
- If you have applied for, or are a current holder of, a Skilled Work Regional (Provisional) visa (subclass 491), you are not eligible for nomination for the Skilled Nominated (Permanent) visa (subclass 190). This restriction also applies to the Skilled Regional (Provisional) visa (subclass 489).
Commitment to living in Queensland
- Commit to continue to living and working in:
- Regional Queensland until at least 3 years after the date your Skilled Work Regional (Provisional) visa (subclass 491) is granted, or;
- Queensland until at least 2 years after the date your Skilled Nominated (Permanent) visa (subclass 190) is granted.",,,,,,
QLD,University_Graduates,,,,-,,"Occupation
Points
- Have a score of 65 or higher in the Australian Department of Home Affairs' points test.
English
Study
- You have:
- A Bachelor Degree, Master's Degree or PhD from a Queensland university or tertiary institute that meets the Australian Study Requirement
- Completed 100% of this qualification in Queensland
- Graduated after 1 July 2021.
- Your Queensland degree does not have to be related to your nominated occupation.
Work experience
- Immediately before registering your interest in Queensland nomination, you have been living and working in:
- Regional Queensland for the past 6 months for the Skilled Work Regional (Provisional) visa (subclass 491), or;
- Queensland for the past 9 months for the Skilled Nominated (Permanent) visa (subclass 190).
- This work experience must be:
- After you completed your qualification
- At least 20 hours per week.
- Candidates who meet the Queensland university graduate requirements may be working in their nominated occupation or any Skill Level 1 occupation.
- We also note the following:
- You must still be in a role that meets the above requirements when you submit your ROI, when you are selected for invitation, and when you are nominated
- Casual work is accepted
- Multiple eligible jobs can be combined to meet requirements
- Work from home is allowed, where your employer has a physical presence in Queensland.
Visa subclass
- The Queensland Onshore Skills List outlines which visa subclasses you may be nominated for based on your occupation.
- Some occupations are only eligible for nomination for the Skilled Work Regional (Provisional) visa (subclass 491).
- If you have applied for, or are a current holder of, a Skilled Work Regional (Provisional) visa (subclass 491), you are not eligible for nomination for the Skilled Nominated (Permanent) visa (subclass 190). This restriction also applies to the Skilled Regional (Provisional) visa (subclass 489).
Commitment to living in Queensland
- Commit to continue living and working in:
- Regional Queensland until at least 3 years after the date your Skilled Work Regional (Provisional) visa (subclass 491) is granted, or;
- Queensland until at least 2 years after the date your Skilled Nominated (Permanent) visa (subclass 190) is granted.",,,,,,
